name,score_rank,popularity_rank,members,year,season,episodes,studio,source,genres,score,ave_main_cast_favorites
Tokyo Ghoul,#844,#7,2179778,2014,summer,12.0,Studio Pierrot,Manga,"['Action', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Seinen']",7.8,8063.5
Akame ga Kill!,#1627,#26,1608645,2014,summer,24.0,White Fox,Manga,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Shounen']",7.49,6952.25
Sword Art Online II,#4878,#28,1589422,2014,summer,24.0,A-1 Pictures,Light novel,"['Action', 'Game', 'Adventure', 'Romance', 'Fantasy']",6.73,27051.75
Zankyou no Terror,#414,#108,910203,2014,summer,11.0,MAPPA,Original,"['Mystery', 'Psychological', 'Thriller']",8.11,3263.75
Gekkan Shoujo Nozaki-kun,#696,#147,750871,2014,summer,12.0,Doga Kobo,4-koma manga,"['Comedy', 'Romance', 'School']",7.9,15692.714285714286
Ao Haru Ride,#1144,#164,691992,2014,summer,12.0,Production I.G,Manga,"['Comedy', 'Drama', 'Romance', 'School', 'Shoujo', 'Slice of Life']",7.66,5307.0
Barakamon,#158,#254,545373,2014,summer,12.0,Kinema Citrus,Web manga,"['Comedy', 'Slice of Life']",8.4,21204.0
Aldnoah.Zero,#1872,#341,453358,2014,summer,12.0,A-1 Pictures,Original,"['Action', 'Military', 'Sci-Fi', 'Mecha']",7.42,12067.333333333334
Hanamonogatari,#588,#440,355905,2014,summer,5.0,Shaft,Light novel,"['Mystery', 'Comedy', 'Supernatural']",7.97,18905.0
Free!: Eternal Summer,#1164,#460,343926,2014,summer,13.0,Kyoto Animation,Original,"['Slice of Life', 'Comedy', 'Sports', 'Drama', 'School']",7.65,15177.5
Kuroshitsuji: Book of Circus,#427,#492,324756,2014,summer,10.0,A-1 Pictures,Manga,"['Action', 'Mystery', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Shounen']",8.1,28590.5
Seireitsukai no Blade Dance,#4676,#522,304507,2014,summer,12.0,TNK,Light novel,"['Action', 'Harem', 'Comedy', 'Supernatural', 'Romance', 'Ecchi', 'Fantasy', 'School']",6.77,1177.5
Love Stage!!,#2514,#785,213283,2014,summer,10.0,J.C.Staff,Manga,"['Comedy', 'Romance', 'Shounen Ai']",7.27,2341.25
Rail Wars!,#6546,#931,178712,2014,summer,12.0,Passione,Light novel,"['Action', 'Harem', 'Police', 'Ecchi']",6.4,11664.5
Rokujouma no Shinryakusha!? (TV),#2994,#1060,156297,2014,summer,12.0,SILVER LINK.,Light novel,"['Harem', 'Comedy', 'Supernatural', 'School']",7.16,11337.166666666666
Tokyo ESP,#5706,#1073,154560,2014,summer,12.0,Xebec,Manga,"['Action', 'Sci-Fi', 'Comedy', 'Super Power', 'Supernatural', 'Shounen']",6.56,485.5
Glasslip,#10304,#1104,150388,2014,summer,13.0,P.A. Works,Original,"['Romance', 'Slice of Life', 'Supernatural']",5.43,9905.5
Re:␣Hamatora,#2005,#1124,148020,2014,summer,12.0,Lerche,Original,"['Mystery', 'Comedy', 'Super Power', 'Drama']",7.38,24906.25
DRAMAtical Murder,#8172,#1129,146330,2014,summer,12.0,NAZ,Visual novel,"['Action', 'Sci-Fi', 'Super Power', 'Psychological']",6.07,761.8333333333334
Space☆Dandy 2nd Season,#255,#1184,139156,2014,summer,13.0,Bones,Original,"['Space', 'Comedy', 'Sci-Fi']",8.26,7500.0
Sabage-bu!,#2070,#1221,134627,2014,summer,12.0,Pierrot Plus,Manga,"['Action', 'Military', 'Comedy', 'Shoujo']",7.37,3194.0
Fate/kaleid liner Prisma☆Illya 2wei!,#2503,#1228,133814,2014,summer,10.0,SILVER LINK.,Manga,"['Action', 'Comedy', 'Fantasy', 'Magic']",7.27,3860.0
Himegoto,#8792,#1485,103399,2014,summer,13.0,Asahi Production,4-koma manga,"['Slice of Life', 'Comedy', 'Ecchi', 'School']",5.92,136.5
Hanayamata,#2233,#1563,97880,2014,summer,12.0,Madhouse,Manga,"['Slice of Life', 'Comedy', 'School']",7.33,823.0
Persona 4 the Golden Animation,#5389,#1878,75724,2014,summer,12.0,A-1 Pictures,Game,"['Sci-Fi', 'Adventure', 'Mystery', 'Super Power', 'Supernatural', 'School']",6.62,52485.0
Majimoji Rurumo,#4384,#2051,65450,2014,summer,12.0,J.C.Staff,Manga,"['Comedy', 'Magic', 'Ecchi', 'Fantasy', 'School', 'Shounen']",6.84,1521.0
Jinsei,#6145,#2125,62209,2014,summer,13.0,feel.,Light novel,"['Comedy', 'School', 'Slice of Life']",6.48,317.6666666666667
Nobunaga Concerto,#1336,#2425,50079,2014,summer,10.0,Fuji TV,Manga,"['Comedy', 'Historical', 'Romance', 'Shounen']",7.59,54848.0
Shirogane no Ishi: Argevollen,#6009,#2676,41259,2014,summer,24.0,Xebec,Original,"['Action', 'Mecha']",6.5,1886.5
Futsuu no Joshikousei ga [Locodol] Yattemita.,#4146,#2697,40576,2014,summer,12.0,feel.,4-koma manga,"['Slice of Life', 'Comedy', 'Seinen']",6.89,5575.5
Yami Shibai 2,#6101,#2716,40010,2014,summer,13.0,ILCA,Original,"['Dementia', 'Horror', 'Supernatural']",6.49,31.0
Momo Kyun Sword,#9891,#3163,30085,2014,summer,12.0,Project No.9,Light novel,"['Comedy', 'Ecchi', 'Fantasy']",5.58,5144.5
Shigatsu wa Kimi no Uso,#47,#22,1675848,2014,fall,22.0,A-1 Pictures,Manga,"['Music', 'Drama', 'Romance', 'School', 'Shounen']",8.7,9550.0
Nanatsu no Taizai,#871,#25,1610943,2014,fall,24.0,A-1 Pictures,Manga,"['Action', 'Adventure', 'Supernatural', 'Magic', 'Fantasy', 'Shounen']",7.79,20470.0
Kiseijuu: Sei no Kakuritsu,#174,#39,1420057,2014,fall,24.0,Madhouse,Manga,"['Action', 'Sci-Fi', 'Horror', 'Psychological', 'Drama', 'Seinen']",8.37,11324.0
Fate/stay night: Unlimited Blade Works,#303,#123,828986,2014,fall,12.0,ufotable,Visual novel,"['Action', 'Supernatural', 'Magic', 'Fantasy']",8.21,8165.25
Trinity Seven,#3193,#174,673655,2014,fall,12.0,Seven Arcs Pictures,Manga,"['Action', 'Harem', 'Comedy', 'Supernatural', 'Magic', 'Romance', 'Ecchi', 'Fantasy', 'School', 'Shounen']",7.12,9451.75
Akatsuki no Yona,#495,#182,660178,2014,fall,24.0,Studio Pierrot,Manga,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Shoujo']",8.04,6078.0
Psycho-Pass 2,#1909,#252,546223,2014,fall,11.0,Tatsunoko Production,Original,"['Action', 'Sci-Fi', 'Police', 'Psychological', 'Thriller']",7.41,28706.25
Amagi Brilliant Park,#1611,#260,540045,2014,fall,13.0,Kyoto Animation,Light novel,"['Comedy', 'Drama', 'Fantasy', 'Magic']",7.5,4574.0
Log Horizon 2nd Season,#1306,#276,520862,2014,fall,25.0,Studio Deen,Light novel,"['Action', 'Game', 'Adventure', 'Magic', 'Fantasy']",7.6,2208.6666666666665
Grisaia no Kajitsu,#1508,#304,497089,2014,fall,13.0,8bit,Visual novel,"['Drama', 'Harem', 'Psychological', 'Romance', 'School']",7.53,4053.1666666666665
Ookami Shoujo to Kuro Ouji,#3185,#414,376666,2014,fall,12.0,TYO Animations,Manga,"['Comedy', 'Romance', 'School', 'Shoujo']",7.12,12602.0
Shirobako,#209,#415,375503,2014,fall,24.0,P.A. Works,Original,"['Comedy', 'Drama']",8.33,144.6
Shingeki no Bahamut: Genesis,#1176,#447,350074,2014,fall,12.0,MAPPA,Card game,"['Action', 'Adventure', 'Demons', 'Supernatural', 'Magic', 'Fantasy']",7.65,9003.0
Inou-Battle wa Nichijou-kei no Naka de,#3244,#449,348474,2014,fall,12.0,Trigger,Light novel,"['Harem', 'Slice of Life', 'Comedy', 'Supernatural', 'Romance', 'School']",7.11,17751.2
Tsukimonogatari,#398,#455,346158,2014,fall,4.0,Shaft,Light novel,"['Mystery', 'Comedy', 'Supernatural', 'Ecchi']",8.12,67253.0
World Trigger,#1361,#523,304304,2014,fall,73.0,Toei Animation,Manga,"['Action', 'Sci-Fi', 'Supernatural', 'School', 'Shounen']",7.58,21735.75
Danna ga Nani wo Itteiru ka Wakaranai Ken,#2200,#547,293299,2014,fall,13.0,Seven,4-koma manga,"['Slice of Life', 'Comedy', 'Romance', 'Seinen']",7.34,6087.5
Madan no Ou to Vanadis,#3070,#563,285261,2014,fall,13.0,Satelight,Light novel,"['Adventure', 'Ecchi', 'Fantasy', 'Harem', 'Romance']",7.15,10585.0
Mushishi Zoku Shou 2nd Season,#36,#772,215486,2014,fall,10.0,Artland,Manga,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",8.75,260.0
Terra Formars,#3632,#851,196582,2014,fall,13.0,LIDENFILMS,Manga,"['Action', 'Sci-Fi', 'Space', 'Horror', 'Drama', 'Seinen']",7.03,4336.333333333333
Hitsugi no Chaika: Avenging Battle,#2851,#942,175886,2014,fall,10.0,Bones,Light novel,"['Action', 'Adventure', 'Comedy', 'Romance', 'Fantasy']",7.2,3003.75
Cross Ange: Tenshi to Ryuu no Rondo,#1954,#1003,164791,2014,fall,25.0,Sunrise,Original,"['Action', 'Mecha', 'Sci-Fi']",7.4,11248.0
Gugure! Kokkuri-san,#1381,#1033,160060,2014,fall,12.0,TMS Entertainment,4-koma manga,"['Comedy', 'Supernatural', 'Shounen']",7.57,14759.0
"Ore, Twintail ni Narimasu.",#6110,#1197,137216,2014,fall,12.0,Production IMS,Light novel,"['Action', 'Comedy', 'Romance', 'Fantasy', 'School', 'Shounen']",6.48,3843.75
Garo: Honoo no Kokuin,#1980,#1276,127385,2014,fall,24.0,MAPPA,Original,"['Action', 'Demons', 'Fantasy', 'Magic', 'Supernatural']",7.39,7161.75
Yuuki Yuuna wa Yuusha de Aru,#2082,#1285,126489,2014,fall,12.0,Studio Gokumi,Original,"['Slice of Life', 'Psychological', 'Drama', 'Magic', 'Fantasy']",7.37,1363.4
Daitoshokan no Hitsujikai,#4112,#1383,114152,2014,fall,12.0,Hoods Entertainment,Visual novel,"['Harem', 'Romance', 'School']",6.9,420.5
Denki-gai no Honya-san,#2843,#1385,113875,2014,fall,12.0,Shin-Ei Animation,Manga,"['Comedy', 'Seinen', 'Slice of Life']",7.2,6769.285714285715
Yowamushi Pedal: Grande Road,#419,#1388,113593,2014,fall,24.0,TMS Entertainment,Manga,"['Comedy', 'Drama', 'Shounen', 'Sports']",8.1,3168.0
Donten ni Warau,#1574,#1423,109701,2014,fall,12.0,Doga Kobo,Manga,"['Action', 'Historical', 'Shoujo', 'Supernatural']",7.51,27526.0
Magic Kaito 1412,#733,#1496,102682,2014,fall,24.0,A-1 Pictures,Manga,"['Adventure', 'Comedy', 'Romance', 'Shounen']",7.87,3506.5
Sora no Method,#4700,#1606,95095,2014,fall,13.0,Studio 3Hz,Original,"['Drama', 'Fantasy', 'School', 'Slice of Life']",6.76,5390.666666666667
Orenchi no Furo Jijou,#3760,#1626,93407,2014,fall,13.0,Asahi Production,4-koma manga,"['Comedy', 'Fantasy', 'Josei']",6.99,3311.5
Ushinawareta Mirai wo Motomete,#4811,#1786,81481,2014,fall,12.0,feel.,Visual novel,"['Sci-Fi', 'Drama', 'Romance', 'School']",6.74,359.8
Selector Spread WIXOSS,#2007,#1938,70935,2014,fall,12.0,J.C.Staff,Card game,"['Game', 'Psychological']",7.38,9534.2
Girlfriend (Kari),#8752,#2776,38463,2014,fall,12.0,SILVER LINK.,Game,"['School', 'Slice of Life']",5.93,1433.4
Gundam Build Fighters Try,#2665,#2828,37152,2014,fall,25.0,Sunrise,Original,"['Action', 'Sci-Fi', 'Mecha']",7.24,2258.6666666666665
Ai Tenchi Muyou!,#7651,#3160,30167,2014,fall,50.0,AIC PLUS+,Original,"['Comedy', 'Sci-Fi', 'Shounen']",6.18,4297.0
Ansatsu Kyoushitsu,#405,#33,1480374,2015,winter,22.0,Lerche,Manga,"['Action', 'Comedy', 'School', 'Shounen']",8.11,24618.0
Tokyo Ghoul √A,#3552,#42,1401715,2015,winter,12.0,Studio Pierrot,Manga,"['Action', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Seinen']",7.04,14781.0
Death Parade,#323,#47,1367003,2015,winter,12.0,Madhouse,Original,"['Game', 'Mystery', 'Psychological', 'Drama', 'Thriller']",8.19,3179.6666666666665
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,#139,#145,756433,2015,winter,24.0,David Production,Manga,"['Action', 'Adventure', 'Supernatural', 'Drama', 'Shounen']",8.43,10781.142857142857
Kuroko no Basket 3rd Season,#219,#237,575547,2015,winter,25.0,Production I.G,Manga,"['Comedy', 'Sports', 'School', 'Shounen']",8.32,4124.0
Shinmai Maou no Testament,#4697,#266,531872,2015,winter,12.0,Production IMS,Light novel,"['Action', 'Ecchi', 'Fantasy', 'Romance', 'Harem', 'Demons']",6.76,6423.0
Saenai Heroine no Sodatekata,#1595,#290,510840,2015,winter,12.0,A-1 Pictures,Light novel,"['Harem', 'Comedy', 'Romance', 'Ecchi', 'School']",7.51,14770.0
Absolute Duo,#6124,#332,460349,2015,winter,12.0,8bit,Light novel,"['Action', 'Harem', 'Supernatural', 'Romance', 'Ecchi', 'School']",6.48,6770.4
Durarara!!x2 Shou,#534,#372,413597,2015,winter,12.0,Shuka,Light novel,"['Action', 'Mystery', 'Supernatural']",8.01,49689.66666666666
Kamisama Hajimemashita◎,#342,#561,285805,2015,winter,12.0,TMS Entertainment,Manga,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy', 'Shoujo']",8.17,2176.5
Aldnoah.Zero 2nd Season,#3890,#586,276701,2015,winter,12.0,A-1 Pictures,Original,"['Action', 'Mecha', 'Sci-Fi', 'Space']",6.95,12067.333333333334
Seiken Tsukai no World Break,#4257,#645,255240,2015,winter,12.0,Diomedéa,Light novel,"['Action', 'Fantasy', 'Harem', 'Romance', 'School', 'Supernatural']",6.86,14161.333333333334
Kantai Collection: KanColle,#4293,#861,194922,2015,winter,12.0,Diomedéa,Game,"['Action', 'Military', 'Sci-Fi', 'Slice of Life', 'School']",6.86,3660.0
Junketsu no Maria,#3130,#1223,134241,2015,winter,12.0,Production I.G,Manga,"['Comedy', 'Historical', 'Magic', 'Romance', 'Fantasy', 'Seinen']",7.14,33560.333333333336
Juuou Mujin no Fafnir,#7476,#1229,133768,2015,winter,12.0,Diomedéa,Light novel,"['Fantasy', 'Harem', 'Romance', 'School']",6.22,11977.0
Isuca,#8435,#1267,128479,2015,winter,10.0,Arms,Manga,"['Action', 'Comedy', 'Ecchi', 'Romance', 'School', 'Seinen', 'Supernatural']",6.01,232.0
Yuri Kuma Arashi,#3459,#1685,88492,2015,winter,12.0,SILVER LINK.,Original,"['Psychological', 'Drama', 'Fantasy', 'School', 'Seinen', 'Shoujo Ai']",7.06,78.0
Rolling☆Girls,#5561,#1806,80188,2015,winter,12.0,Wit Studio,Original,"['Action', 'Adventure', 'Slice of Life', 'Super Power']",6.59,2996.5
Binan Koukou Chikyuu Boueibu LOVE!,#4208,#1897,74033,2015,winter,12.0,Diomedéa,Original,"['Slice of Life', 'Comedy', 'Parody', 'Magic', 'School']",6.87,692.8333333333334
Koufuku Graffiti,#4550,#1920,71996,2015,winter,12.0,Shaft,4-koma manga,"['Slice of Life', 'Comedy', 'Seinen']",6.8,1655.0
The iDOLM@STER Cinderella Girls,#3085,#2039,66133,2015,winter,13.0,A-1 Pictures,Game,"['Comedy', 'Drama', 'Music']",7.15,1626.5
Dog Days'',#3973,#2056,65107,2015,winter,12.0,Seven Arcs Pictures,Original,"['Action', 'Adventure', 'Magic', 'Fantasy']",6.93,22255.5
Military!,#9134,#2874,36232,2015,winter,12.0,Creators in Pack,4-koma manga,"['Ecchi', 'Slice of Life', 'Comedy', 'Military', 'Seinen']",5.81,8993.0
Shokugeki no Souma,#287,#53,1314977,2015,spring,24.0,J.C.Staff,Manga,"['Ecchi', 'School', 'Shounen']",8.23,13846.0
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,#1319,#62,1201076,2015,spring,13.0,J.C.Staff,Light novel,"['Action', 'Adventure', 'Comedy', 'Romance', 'Fantasy']",7.59,25599.0
Owari no Seraph,#1648,#91,1009177,2015,spring,12.0,Wit Studio,Manga,"['Action', 'Military', 'Supernatural', 'Drama', 'Vampire', 'Shounen']",7.49,18097.42857142857
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,#269,#126,817225,2015,spring,13.0,feel.,Light novel,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']",8.25,19961.666666666668
Plastic Memories,#649,#151,734711,2015,spring,13.0,Doga Kobo,Original,"['Sci-Fi', 'Drama', 'Romance']",7.93,7969.0
Kekkai Sensen,#1220,#166,688745,2015,spring,12.0,Bones,Manga,"['Action', 'Comedy', 'Super Power', 'Supernatural', 'Vampire', 'Fantasy', 'Shounen']",7.63,6664.0
Fate/stay night: Unlimited Blade Works 2nd Season,#201,#172,678092,2015,spring,13.0,ufotable,Visual novel,"['Action', 'Fantasy', 'Magic', 'Supernatural']",8.33,7631.0
High School DxD BorN,#1815,#197,642310,2015,spring,12.0,TNK,Light novel,"['Action', 'Comedy', 'Demons', 'Ecchi', 'Harem', 'Romance', 'School']",7.44,13391.333333333334
Yamada-kun to 7-nin no Majo (TV),#1277,#206,624331,2015,spring,12.0,LIDENFILMS,Manga,"['Harem', 'Mystery', 'Comedy', 'Supernatural', 'Romance', 'School', 'Shounen']",7.61,12481.2
Nisekoi:,#2063,#244,557593,2015,spring,12.0,Shaft,Manga,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']",7.37,39337.0
Ore Monogatari!!,#646,#270,529163,2015,spring,24.0,Madhouse,Manga,"['Comedy', 'Romance', 'Shoujo']",7.93,2882.333333333333
Gintama°,#5,#342,455748,2015,spring,51.0,Bandai Namco Pictures,Manga,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",9.09,26888.666666666668
Hibike! Euphonium,#559,#429,362609,2015,spring,13.0,Kyoto Animation,Novel,"['Music', 'School', 'Drama']",7.99,1179.0
Grisaia no Rakuen,#787,#474,337791,2015,spring,10.0,8bit,Visual novel,"['Drama', 'Harem', 'Psychological', 'Romance']",7.83,4053.1666666666665
Arslan Senki (TV),#1064,#494,321688,2015,spring,25.0,SANZIGEN,Manga,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Shounen']",7.69,16909.714285714286
Punch Line,#3836,#841,197940,2015,spring,12.0,MAPPA,Original,"['Comedy', 'Ecchi', 'Sci-Fi', 'Super Power', 'Supernatural']",6.97,15805.4
Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,#2046,#990,167964,2015,spring,13.0,Seven,4-koma manga,"['Comedy', 'Romance', 'Seinen', 'Slice of Life']",7.37,6087.5
Denpa Kyoushi (TV),#4141,#1212,135954,2015,spring,24.0,A-1 Pictures,Manga,"['Comedy', 'Romance', 'School', 'Shounen']",6.89,46782.0
Triage X,#6930,#1251,131057,2015,spring,10.0,Xebec,Manga,"['Action', 'Adventure', 'Ecchi', 'Shounen']",6.33,220.16666666666663
Nagato Yuki-chan no Shoushitsu,#4889,#1381,114484,2015,spring,16.0,Satelight,Manga,"['Comedy', 'Romance', 'School', 'Seinen', 'Slice of Life']",6.72,21649.5
Diamond no Ace: Second Season,#221,#1428,110060,2015,spring,51.0,Production I.G,Manga,"['Comedy', 'Sports', 'School', 'Shounen']",8.31,10847.0
Sidonia no Kishi: Daikyuu Wakusei Seneki,#947,#1455,106262,2015,spring,12.0,Polygon Pictures,Manga,"['Action', 'Sci-Fi', 'Space', 'Mecha', 'Seinen']",7.75,4312.0
Mikagura Gakuen Kumikyoku (TV),#5059,#1808,80101,2015,spring,12.0,Doga Kobo,Light novel,"['Action', 'Comedy', 'School', 'Shoujo Ai']",6.69,6714.9
Baby Steps 2nd Season,#478,#1814,79708,2015,spring,25.0,Studio Pierrot,Manga,"['Sports', 'Romance', 'School', 'Shounen']",8.05,779.0
Kyoukai no Rinne (TV),#4160,#1818,79470,2015,spring,25.0,Brain's Base,Manga,"['Comedy', 'Supernatural', 'Romance', 'School', 'Shounen']",6.89,4938.75
Etotama,#4396,#1915,72495,2015,spring,12.0,Shirogumi,Original,"['Action', 'Comedy', 'Fantasy']",6.83,3772.6666666666665
Show By Rock!!,#3624,#1928,71662,2015,spring,12.0,Bones,Game,"['Comedy', 'Music']",7.03,4075.2
Hello!! Kiniro Mosaic,#1556,#1969,69037,2015,spring,12.0,Studio Gokumi,4-koma manga,"['Slice of Life', 'Comedy', 'School', 'Seinen']",7.52,4185.8
Gunslinger Stratos The Animation,#8142,#2021,66806,2015,spring,12.0,A-1 Pictures,Game,"['Action', 'Sci-Fi']",6.08,737.0
Re-Kan!,#4695,#2313,54446,2015,spring,13.0,Pierrot Plus,4-koma manga,"['Comedy', 'School', 'Seinen', 'Supernatural']",6.76,1192.0
Uta no☆Prince-sama♪: Maji Love Revolutions,#3636,#2363,52278,2015,spring,13.0,A-1 Pictures,Visual novel,"['Harem', 'Music', 'Comedy', 'Romance', 'School', 'Shoujo']",7.03,17239.0
Koukaku Kidoutai Arise: Alternative Architecture,#2615,#2791,38263,2015,spring,10.0,Production I.G,Manga,"['Sci-Fi', 'Police', 'Psychological', 'Mecha']",7.25,15113.0
Houkago no Pleiades (TV),#4946,#3079,32113,2015,spring,12.0,Gainax,Original,"['Magic', 'Space']",6.71,636.2
Charlotte,#917,#61,1219367,2015,summer,13.0,P.A. Works,Original,"['Drama', 'School', 'Super Power']",7.76,7432.2
Overlord,#647,#73,1171063,2015,summer,13.0,Madhouse,Light novel,"['Action', 'Adventure', 'Fantasy', 'Game', 'Magic', 'Supernatural']",7.93,2065.0
Prison School,#1125,#138,783775,2015,summer,12.0,J.C.Staff,Manga,"['Comedy', 'Ecchi', 'Romance', 'School', 'Seinen']",7.67,23168.2
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",#1000,#193,646681,2015,summer,12.0,A-1 Pictures,Light novel,"['Action', 'Adventure', 'Fantasy', 'Military']",7.72,11736.4
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,#2361,#209,627949,2015,summer,12.0,J.C.Staff,Light novel,"['Comedy', 'Ecchi', 'School']",7.3,4005.4
Dragon Ball Super,#1958,#213,622080,2015,summer,131.0,Toei Animation,Manga,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Fantasy', 'Shounen']",7.4,1860.5
Monster Musume no Iru Nichijou,#3541,#224,598491,2015,summer,12.0,Lerche,Manga,"['Harem', 'Comedy', 'Romance', 'Ecchi', 'Fantasy', 'Seinen']",7.04,2388.125
Himouto! Umaru-chan,#3059,#247,555394,2015,summer,12.0,Doga Kobo,Manga,"['Comedy', 'School', 'Seinen', 'Slice of Life']",7.15,658.0
Rokka no Yuusha,#2267,#278,519695,2015,summer,12.0,Passione,Light novel,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Mystery']",7.32,13060.42857142857
Akagami no Shirayuki-hime,#890,#284,518787,2015,summer,12.0,Bones,Manga,"['Fantasy', 'Romance', 'Drama', 'Shoujo']",7.77,17445.6
Gangsta.,#1960,#324,469458,2015,summer,12.0,Manglobe,Manga,"['Action', 'Drama', 'Seinen']",7.4,15928.0
God Eater,#2604,#331,461044,2015,summer,13.0,ufotable,Game,"['Action', 'Fantasy', 'Military', 'Sci-Fi']",7.25,6156.0
Gakkougurashi!,#1244,#426,366188,2015,summer,12.0,Lerche,Manga,"['Horror', 'Mystery', 'Psychological', 'School', 'Slice of Life']",7.62,14429.75
Durarara!!x2 Ten,#551,#473,335930,2015,summer,12.0,Shuka,Light novel,"['Action', 'Mystery', 'Supernatural']",8.0,49689.66666666666
Okusama ga Seitokaichou!,#5385,#698,236825,2015,summer,12.0,Seven,Manga,"['Comedy', 'Romance', 'Ecchi', 'School', 'Shounen']",6.62,5108.5
Kuusen Madoushi Kouhosei no Kyoukan,#6764,#788,212953,2015,summer,12.0,Diomedéa,Light novel,"['Action', 'Drama', 'Fantasy', 'Magic', 'School']",6.36,11763.0
Jitsu wa Watashi wa,#4155,#795,211478,2015,summer,13.0,TMS Entertainment,Manga,"['Comedy', 'Supernatural', 'Romance', 'Vampire', 'Fantasy', 'School', 'Shounen']",6.89,7298.4
To LOVE-Ru Darkness 2nd,#1669,#796,211098,2015,summer,12.0,Xebec,Manga,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School', 'Sci-Fi', 'Shounen']",7.48,3403.25
Working!!!,#547,#798,208878,2015,summer,13.0,A-1 Pictures,4-koma manga,"['Comedy', 'Romance', 'Seinen', 'Slice of Life']",8.0,22709.5
Aoharu x Kikanjuu,#2916,#865,194853,2015,summer,12.0,Brain's Base,Manga,"['Action', 'Comedy', 'Sports', 'Shounen']",7.18,12912.666666666666
Ushio to Tora (TV),#1344,#884,192277,2015,summer,26.0,MAPPA,Manga,"['Action', 'Adventure', 'Comedy', 'Demons', 'Shounen', 'Supernatural']",7.59,2084.25
Non Non Biyori Repeat,#328,#1016,162607,2015,summer,12.0,SILVER LINK.,Manga,"['Comedy', 'School', 'Seinen', 'Slice of Life']",8.19,4784.0
Joukamachi no Dandelion,#2881,#1159,142487,2015,summer,12.0,Production IMS,4-koma manga,"['Slice of Life', 'Comedy', 'Super Power', 'Seinen']",7.19,14283.666666666666
Fate/kaleid liner Prisma☆Illya 2wei Herz!,#2743,#1371,115945,2015,summer,10.0,SILVER LINK.,Manga,"['Action', 'Slice of Life', 'Comedy', 'Magic', 'Fantasy']",7.22,3860.0
Classroom☆Crisis,#3663,#1441,108240,2015,summer,13.0,Lay-duce,Original,"['Drama', 'Romance', 'School', 'Sci-Fi']",7.02,4751.5
Ranpo Kitan: Game of Laplace,#5484,#1468,105056,2015,summer,11.0,Lerche,Original,['Mystery'],6.6,20749.666666666668
Junjou Romantica 3,#1018,#1521,101404,2015,summer,12.0,Studio Deen,Manga,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']",7.71,4061.75
Chaos Dragon: Sekiryuu Seneki,#9663,#1541,99981,2015,summer,12.0,SILVER LINK.,Game,"['Action', 'Fantasy', 'Supernatural']",5.65,11371.0
Danchigai,#5853,#1570,98110,2015,summer,12.0,Creators in Pack,4-koma manga,"['Comedy', 'Slice of Life']",6.53,958.2
Bikini Warriors,#10921,#1919,72456,2015,summer,12.0,feel.,Other,"['Comedy', 'Ecchi', 'Fantasy', 'Parody']",5.14,2990.2
Gatchaman Crowds Insight,#2473,#2040,66125,2015,summer,12.0,Tatsunoko Production,Original,"['Adventure', 'Sci-Fi']",7.28,14096.222222222224
Sore ga Seiyuu!,#3531,#2528,46133,2015,summer,13.0,Gonzo,Web manga,"['Slice of Life', 'Comedy']",7.05,12306.666666666666
Senki Zesshou Symphogear GX,#1861,#2723,39847,2015,summer,13.0,Satelight,Original,"['Action', 'Music', 'Sci-Fi']",7.42,12277.166666666666
Wakaba*Girl,#4182,#2796,38132,2015,summer,13.0,Nexus,4-koma manga,"['Comedy', 'School', 'Slice of Life']",6.89,932.5
Makura no Danshi,#11476,#2842,37063,2015,summer,12.0,feel.,Original,['Slice of Life'],4.49,7789.0
Wakako-zake,#5299,#2940,34742,2015,summer,12.0,Office DCI,Manga,"['Seinen', 'Slice of Life']",6.64,34426.0
The iDOLM@STER Cinderella Girls 2nd Season,#2166,#3086,31899,2015,summer,12.0,A-1 Pictures,Game,"['Comedy', 'Drama', 'Music']",7.35,1626.5
